Date,Open,High,Low,Close,Adj Close,Volume
2019-05-03,4.000000,4.380000,4.000000,4.000000,4.000000,8400
2019-05-06,4.030000,4.030000,3.840000,3.910000,3.910000,6000
2019-05-07,3.920000,3.940000,3.720000,3.930000,3.930000,7900
2019-05-08,3.860000,3.880000,3.830000,3.880000,3.880000,3400
2019-05-09,3.770000,3.920000,3.650000,3.660000,3.660000,8800
2019-05-10,3.680000,3.700000,3.440000,3.440000,3.440000,21000
2019-05-13,3.450000,3.500000,2.720000,3.320000,3.320000,9400
2019-05-14,3.150000,3.230000,2.950000,3.220000,3.220000,6600
2019-05-15,3.110000,3.200000,2.930000,2.940000,2.940000,2400
2019-05-16,3.000000,3.150000,3.000000,3.150000,3.150000,3100
2019-05-17,3.020000,3.280000,3.020000,3.150000,3.150000,3800
2019-05-20,3.180000,3.180000,3.080000,3.080000,3.080000,2600
2019-05-21,3.050000,3.150000,3.050000,3.150000,3.150000,2500
2019-05-22,3.150000,3.150000,3.060000,3.060000,3.060000,1400
2019-05-23,3.070000,3.100000,3.030000,3.100000,3.100000,3600
2019-05-24,3.010000,3.110000,3.000000,3.000000,3.000000,4000
2019-05-28,3.030000,3.070000,3.020000,3.020000,3.020000,1100
2019-05-29,3.010000,3.060000,3.000000,3.000000,3.000000,2200
2019-05-30,3.090000,3.090000,3.020000,3.020000,3.020000,900
2019-05-31,3.000000,3.050000,3.000000,3.010000,3.010000,2300
2019-06-03,3.000000,3.040000,3.000000,3.010000,3.010000,2700
2019-06-04,3.000000,3.000000,2.750000,2.780000,2.780000,25900
2019-06-05,2.750000,2.890000,2.750000,2.890000,2.890000,700
2019-06-06,2.770000,2.890000,2.760000,2.780000,2.780000,5100
2019-06-07,2.790000,2.960000,2.790000,2.790000,2.790000,700
2019-06-10,2.970000,2.970000,2.750000,2.750000,2.750000,4700
2019-06-11,2.750000,2.770000,2.750000,2.770000,2.770000,700
2019-06-12,2.750000,2.760000,2.750000,2.760000,2.760000,300
2019-06-13,2.970000,3.150000,2.770000,3.010000,3.010000,8100
2019-06-14,3.000000,4.680000,2.750000,2.900000,2.900000,449100
2019-06-17,2.950000,2.950000,2.500000,2.580000,2.580000,39800
2019-06-18,2.530000,2.860000,2.500000,2.650000,2.650000,49600
