Date,Open,High,Low,Close,Volume
2018-01-01 00:01:00,13841.01,13890.43,13841.01,13890.43,23139.3667
2018-01-01 00:02:00,13846.64,13890.35,13846.64,13847.51,3729.768382
2018-01-01 00:03:00,13847.51,13874.92,13823.19,13823.19,15969.57408
2018-01-01 00:04:00,13823.19,13826.75,13803.2,13803.2,8926.403003
2018-01-01 00:05:00,13826.1,13826.1,13734.45,13737.93,522459.1004
2018-01-01 00:06:00,13737.93,13777.3,13700.2,13700.2,246430.7154
2018-01-01 00:07:00,13700.22,13752.68,13678.88,13688.9,177918.5642
2018-01-01 00:08:00,13688.9,13754.46,13671.79,13752.63,190867.5271
2018-01-01 00:09:00,13743.86,13752.62,13721.38,13752.62,36725.55549
2018-01-01 00:10:00,13721.37,13727.91,13721.37,13727.91,56246.7321
